,Job Title,Company Name,Location,Salary Estimate,Rating,Description
0,Data Scientist,Rocket Mortgage,"Detroit, MI",$73K - $124K (Glassdoor est.),3.5,"Master’s degree in mathematics, statistics, computer science or a related field or equivalent experience. As a Data Scientist, you'll leverage your expertise in…&hellip;
Skills: Computer science, Azure, Data mining, Data analysis skills, Google Cloud Platform"
1,Data Scientist,WerQ AI,United States,$130K - $160K (Employer est.),-1,"You will work closely with cross-functional teams to develop innovative solutions and enhance our data-driven initiatives.&hellip;
Skills: TensorFlow, Data modeling, Management, Big data, Spark"
2,Data Scientist,IStream Solutions,"Ashburn, VA",$120K - $130K (Employer est.),3.9,"Bachelor’s degree in Computer Science, Statistics, Mathematics, or a related field; advanced degree preferred.&hellip;
Skills: TensorFlow, Azure, Software deployment, R, AWS"
3,Data Scientist,Bunge,"Chesterfield, MO",$74K - $112K (Glassdoor est.),4.1,"Master’s degree in computer science, statistics, economics, agribusiness, mathematics, finance, or related field required. Data Analysis and Insight Generation.&hellip;
Skills: Computer science, Machine learning"
4,Data Scientist,Insurance Institute for Business & Home Safety (IBHS),"Richburg, SC",-1,3.6,"Bachelor’s or master’s degree in computer science, data science, or a related field. Familiarity with version control (e.g., Git or BitBucket) and project…&hellip;
Skills: Power BI, Data modeling, Big data, Software deployment, Git"
5,Data Scientist,Lucid Intel,"Atlanta, GA",$90K - $140K (Employer est.),-1,"Strong data visualization and storytelling skills, with the ability to communicate insights to both technical and non-technical stakeholders.&hellip;
Skills: Microsoft Powerpoint, TensorFlow, SQL, Machine learning, Data science"
6,Data Scientist (Facial Recognition),Divergent Talent,"New York, NY",$65.00 - $80.00 Per Hour (Employer est.),-1,"Perform vectorization and matching for facial recognition systems. Proficiency in vectorization, matching, and image-processing techniques.&hellip;
Skills: NEC, Analysis skills, Financial services, AI, Leadership"
7,Data Scientist,"Interclypse, Inc.","Huntsville, AL",$80K - $115K (Glassdoor est.),4.7,"Bachelor's degree in Engineering, Computer Science, or another related analytical, scientific, or technical discipline. Jury Duty Leave 16 hours.&hellip;
Skills: Lucene, Management, Node.js, Spark, Apache Hive"
8,Data Scientist II,Parkview Health,"Fort Wayne, IN",-1,3.8,"Is able to independently own and solve a well-defined business problem where the solution has not yet been outlined or approach is unclear; is able to provide…&hellip;
Skills: Data modeling, Data mining, Big data, Spark, Data analysis skills"
9,"Data Scientist, SAMBA",Audible,"Newark, NJ",$117K - $185K (Glassdoor est.),3.4,"3+ yrs relevant experience, and MS in one of the following disciplines: Computer Science, Statistics, Data Science, Economics, Applied Math, Operational…&hellip;
Skills: Kubernetes, Big data, Spark, R, Research"
10,Data Scientist,Sajix Software Solution Private Limited,"Pleasanton, CA",$109K - $158K (Glassdoor est.),3.3,"Participate in exploratory data analysis and feature engineering. Participants gain real-world experience through live projects, personalized mentorship, and…&hellip;
Skills: Statistics, R, Machine learning, Data science, AI"
11,Data Scientist-Parts Analytics,Komatsu,"Chicago, IL",$94K - $132K (Glassdoor est.),4.2,"Education: Bachelor’s in Data Science or related field. Communication Skills: Exceptional verbal and written skills; ability to present insights to non-…&hellip;
Skills: Power BI, Microsoft Excel, SQL, Analysis skills, Communication skills"
12,"Data Scientist, Product Analytics",Handshake,"San Francisco, CA",$150K - $200K (Employer est.),3.1,"Contribute to experiment design, implementation, and analysis to guide feature development. Ability to conduct analysis across user cohorts, funnels, and time-…&hellip;
Skills: Data modeling, R, SQL, Analysis skills, Product development"
13,Data Scientist,Camping World,"Lincolnshire, IL",$90K - $131K (Employer est.),3.3,"Bachelor’s degree in computer science, information systems or a closely related field. Working with stakeholders including data, design, product and executive…&hellip;
Skills: Statistics, Power BI, Calculus, Big data, Spark"
14,Data Scientist,Exactech,"Gainesville, FL",$78K - $123K (Glassdoor est.),1.0,"Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field from an accredited institution.&hellip;
Skills: TensorFlow, Git, Google Cloud Platform, AWS, Machine learning"
15,Data Scientist,Citadel Securities,"Miami, FL",$102K - $164K (Glassdoor est.),3.9,"Education: Bachelor’s degree in a STEM field. Familiarity with big data tools like Spark and Kafka. Understanding of ETL processes and data pipeline design.&hellip;
Skills: TensorFlow, Big data, Spark, R, Google Cloud Platform"
16,"Data Scientist, Senior",All Native Group,"Washington, DC",-1,3.3,"Bachelor's degree in a technology discipline or related field or equivalent work experience directly within functional area. None required for this position.&hellip;
Skills: Statistics, Power BI, Data mining, Business intelligence, Customer service"
17,Sr. Data Scientist,Idea Financial,"Miami, FL",$96K - $155K (Glassdoor est.),4.3,"Use and master multiple data science tools. Be able to explain complex technical issues to non-technical staff and clients. Proficient in R, Python, and SQL.&hellip;
Skills: Data mining, Salesforce, R, Data analysis skills, Microsoft Office"
18,Data Scientist,Erie Home,"Toledo, OH",$100K - $120K (Employer est.),3.7,"As a strategic partner, you'll apply advanced analytics to solve critical business problems, working with decision-makers to inform strategies and quantify…&hellip;
Skills: Power BI, Data mining, Software deployment, R, SQL"
19,Data Scientist,GEICO,"Chevy Chase, MD",-1,2.6,"Bachelor’s degree in quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc.&hellip;
Skills: Statistics, Big data, Spark, R, Apache Hive"
20,Junior Data Scientist,"Vectrona, LLC","Washington, DC",$74K - $85K (Employer est.),5.0,"Conduct quantitative analysis using statistical programming tools to validate Common Output Levels of Service cost models and performance indicators.&hellip;
Skills: Business intelligence, Military, Data structures, R, Data analysis skills"
21,NLP Data Scientist,SteerBridge,"Vienna, VA",$137K (Employer est.),4.9,"Ability to communicate complex data science concepts to technical and non-technical audiences. In this role, you will develop and fine-tune natural language…&hellip;
Skills: Computer science, Google Cloud Platform, SQL, AWS, Machine learning"
22,Data Scientist,"Smule,Inc.","Salt Lake City, UT",-1,3.3,"Bachelor’s degree in statistics, mathematics, computer science, or related field (Master’s or PhD preferred). This role is ideal for someone who thrives at the…&hellip;
Skills: Elasticsearch, Software deployment, SPARQL, Tableau, SQL"
23,Data Scientist,Nixon Web Technology,"Nova Olinda, Ceará",$100K - $120K (Employer est.),-1,"Bachelor’s degree in Computer Science, Engineering, Data Science, or a related quantitative field; a master’s degree is highly preferred.&hellip;
Skills: Statistics, Power BI, Data mining, Spark, R"
24,Data Scientist,Skai,"New York, NY",$130K - $145K (Employer est.),-1,"Ideally in a relevant field to analytics (finance, business, engineering, information systems, math, science, etc).&hellip;
Skills: Statistics, Data analysis skills, SQL, Analysis skills, Natural language processing"
25,Data Scientist,Kemper,"Alpharetta, GA",$90K - $150K (Employer est.),3.6,"Graduate degree in Mathematics, Statistics, Engineering, or other STEM field with 2-4 years of experience working in a data science/analytics environment.&hellip;
Skills: AWS, Machine learning, Natural language processing, Data science, Clustering"
26,Data Scientist,Takeda Pharmaceutical,"Boston, MA",$127K - $186K (Employer est.),3.9,"POSITION DESCRIPTION: Takeda Development Center Americas, Inc. is seeking a Data Scientist with the following duties: Collaborate with cross-functional…&hellip;
Skills: Power BI, Cloud infrastructure, Research, Tableau, SQL"
27,Senior Data Scientist - Supply Chain,Kimberly-Clark,"Irving, TX",$106K - $131K (Employer est.),4.0,"Bachelor’s degree or higher in Supply Chain, Computer Science, Engineering, Data Science or related technical field. In this role, you will:&hellip;
Skills: Benefits administration, Power BI, Data modeling, Microsoft Excel, Data mining"
28,Data Scientist,The Marlin Alliance,"San Diego, CA",$150K - $180K (Employer est.),4.9,"Using your comprehensive knowledge of various technologies, you will design, develop, and implement solutions to support Navy mission owners in their digital…&hellip;
Skills: Statistics, Operations research, Data mining, R, NoSQL"
29,"Data Scientist, Analytics",Discord,"San Francisco, CA",$154K - $209K (Glassdoor est.),3.7,"What you'll be doing Partner with teams throughout Discord through the full lifecycle of data science analytics from ideation and exploratory analysis, to…&hellip;
Skills: Social media management, Tableau, SQL, Analysis skills, A/B testing"
30,Data Scientist Quality Engineer,Monosol Llc,"Portage, IN",$76K - $116K (Glassdoor est.),3.4,"The Data Scientist Quality Engineer requires knowledge of tools and methods, including statistics, artificial intelligence, and machine learning and must be…&hellip;
Skills: Statistics, Machine learning, Data science, Manufacturing, AI"
31,Data Scientist II - Texas,GEICO,"Richardson, TX",$135K - $165K (Glassdoor est.),2.6,"Must have a Ph.D. in Data Science, Comp Sci, Stats, Math, or rel quantitative field and 2 yrs exp in a Data Science rel field or a Master’s degree in Data…&hellip;
Skills: TensorFlow, Kubernetes, SQL, AWS, Machine learning"
32,Data Scientist,Upgrade,"San Francisco, CA",$100K - $115K (Employer est.),4.0,"Ability to write documentation and present analysis to people with different levels of expertise (e.g., technical staff, business leads, etc.).&hellip;
Skills: Power BI, Azure, Big data, Spark, Google Cloud Platform"
33,Senior Risk Data Scientist,Technosylva,Remote,-1,3.1,"5+ years of experience in data science, machine learning, or a related field. Strong communication skills to convey complex technical concepts to non-technical…&hellip;
Skills: Big data, Software deployment, Spark, AWS, Analysis skills"
34,Data Scientist,Doosan Bobcat NA US,"West Fargo, ND",-1,4.1,"Education Required: Bachelor’s Degree in a quantitative discipline, such as Data Science, Mathematics, Computer Science, Engineering, or a related field with…&hellip;
Skills: Azure, AWS, Machine learning, AI, Python"
35,Data Scientist 3,Shield Consulting Solutions,"Annapolis Junction, MD",$165K - $175K (Employer est.),5.0,"Relevant experience must be in designing/implementing machine learning, data science, advanced analytical algorithms, programming (skill in at least one high-…&hellip;
Skills: Computer science, Data mining, CSS, Analysis skills, C"
36,"Data Scientist, Robotic Storage Analytics & Data Science",Amazon,"North Reading, MA",$128K - $164K (Glassdoor est.),3.6,"Master's degree in a quantitative field such as statistics, mathematics, data science, business analytics, economics, finance, engineering, or computer science,…&hellip;
Skills: Statistics, MATLAB, Business intelligence, SAS, Military"
37,MFG Innovation Sr Data Scientist,New Balance,"Brighton, MA",-1,3.9,"Lead cross-functional teams in defining criteria required to build profiles that influence the design, prototyping, and manufacturing of new components.&hellip;
Skills: CI/CD, Azure, Internet of things, Kubernetes, Git"
